"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HCLTECH","EQ","23-Aug-2017","        875.85","        877.90","        882.95","        863.00","        882.50","        880.00","        872.47","     754889","           658618373.50","      36863","     522921","         69.27"
"HCLTECH","EQ","24-Aug-2017","        880.00","        884.00","        884.00","        866.00","        866.20","        867.50","        872.27","     812123","           708389160.95","      42616","     602804","         74.23"
"HCLTECH","EQ","28-Aug-2017","        867.50","        868.30","        874.55","        857.85","        869.70","        867.65","        869.01","     896254","           778855092.00","      37719","     651853","         72.73"
"HCLTECH","EQ","29-Aug-2017","        867.65","        868.00","        869.60","        850.00","        851.15","        852.55","        852.91","     972794","           829709657.25","      46355","     628493","         64.61"
"HCLTECH","EQ","30-Aug-2017","        852.55","        857.00","        858.00","        843.25","        852.00","        849.20","        847.08","    1693925","          1434885515.05","      72535","    1225071","         72.32"
"HCLTECH","EQ","31-Aug-2017","        849.20","        850.00","        870.40","        840.20","        855.00","        865.30","        856.22","    2509541","          2148711233.45","      72861","    1927946","         76.82"
"HCLTECH","EQ","01-Sep-2017","        865.30","        863.60","        885.00","        855.00","        867.65","        865.75","        862.23","     800259","           690005468.60","      43786","     425518","         53.17"
"HCLTECH","EQ","04-Sep-2017","        865.75","        873.90","        873.90","        857.00","        857.50","        860.60","        863.21","     574971","           496320300.75","      22212","     277757","         48.31"
"HCLTECH","EQ","05-Sep-2017","        860.60","        858.00","        862.50","        848.40","        860.00","        859.90","        856.30","     547807","           469086207.60","      22337","     297319","         54.27"
"HCLTECH","EQ","06-Sep-2017","        859.90","        863.00","        872.00","        846.20","        852.00","        851.05","        860.43","     829386","           713632555.80","      26371","     274543","         33.10"
"HCLTECH","EQ","07-Sep-2017","        851.05","        857.40","        863.70","        851.25","        858.05","        859.30","        854.12","    1474659","          1259531953.15","      58447","     880589","         59.71"
"HCLTECH","EQ","08-Sep-2017","        859.30","        866.90","        869.50","        856.10","        859.80","        859.50","        863.16","    1160052","          1001310764.65","      51309","     800346","         68.99"
"HCLTECH","EQ","11-Sep-2017","        859.50","        862.00","        867.30","        852.00","        862.45","        860.70","        860.22","     719804","           619188205.15","      26176","     492183","         68.38"
"HCLTECH","EQ","12-Sep-2017","        860.70","        867.00","        867.00","        856.15","        862.00","        864.05","        860.68","     849369","           731035919.20","      17219","     670132","         78.90"
"HCLTECH","EQ","13-Sep-2017","        864.05","        864.00","        875.00","        861.70","        874.10","        871.30","        867.83","    1118654","           970796782.15","      38710","     798503","         71.38"
"HCLTECH","EQ","14-Sep-2017","        871.30","        876.00","        882.05","        871.30","        881.10","        880.80","        879.08","    1163826","          1023101400.80","      36318","     806610","         69.31"
"HCLTECH","EQ","15-Sep-2017","        880.80","        881.80","        893.35","        868.30","        891.00","        887.05","        882.58","    1751190","          1545573874.80","      60925","    1325254","         75.68"
"HCLTECH","EQ","18-Sep-2017","        887.05","        890.00","        898.50","        889.00","        896.30","        897.35","        896.57","     680969","           610533143.65","      36891","     495569","         72.77"
"HCLTECH","EQ","19-Sep-2017","        897.35","        898.00","        898.00","        889.25","        892.00","        893.65","        893.09","     547863","           489289853.55","      13030","     369479","         67.44"
