"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"UPL","EQ","23-Aug-2017","        796.55","        803.00","        816.70","        801.45","        816.00","        814.10","        808.02","     772199","           623952313.75","      34846","     421986","         54.65"
"UPL","EQ","24-Aug-2017","        814.10","        821.90","        837.00","        810.85","        832.80","        833.10","        825.88","     879641","           726481109.35","      29367","     329072","         37.41"
"UPL","Q1","24-Aug-2017","         16.75","         16.75","         18.40","         16.75","         18.40","         18.40","         17.58","        200","                3515.00","          2","        100","         50.00"
"UPL","EQ","28-Aug-2017","        833.10","        835.75","        842.70","        827.55","        837.50","        839.10","        835.45","     730266","           610100326.55","      43697","     371142","         50.82"
"UPL","Q1","28-Aug-2017","         18.40","         17.00","         17.00","         17.00","         17.00","         17.00","         17.00","        240","                4080.00","          2","        240","        100.00"
"UPL","EQ","29-Aug-2017","        839.10","        848.00","        856.25","        835.40","        838.00","        840.15","        844.47","    1066800","           900875885.65","      34259","     337379","         31.63"
"UPL","EQ","30-Aug-2017","        840.15","        845.90","        846.90","        838.10","        839.25","        839.85","        841.16","    1179595","           992231930.70","      37188","     907907","         76.97"
"UPL","EQ","31-Aug-2017","        839.85","        842.00","        842.75","        823.10","        831.85","        828.05","        829.07","    1532020","          1270151957.15","      38915","    1109310","         72.41"
"UPL","Q1","31-Aug-2017","         17.00","         16.05","         17.00","         16.05","         17.00","         17.00","         16.99","        394","                6695.15","          6","        391","         99.24"
"UPL","EQ","01-Sep-2017","        828.05","        834.20","        840.20","        825.00","        830.00","        832.70","        834.44","     955148","           797017565.75","      47281","     559042","         58.53"
"UPL","EQ","04-Sep-2017","        832.70","        832.00","        837.00","        808.30","        817.05","        817.00","        817.21","     963622","           787481269.60","      32224","     525779","         54.56"
"UPL","Q1","04-Sep-2017","         17.00","         17.00","         17.00","         16.75","         16.75","         16.75","         17.00","      14250","              242212.50","          2","      14250","        100.00"
"UPL","EQ","05-Sep-2017","        817.00","        816.00","        822.20","        812.00","        821.55","        819.95","        817.57","     624292","           510403982.00","      26111","     289607","         46.39"
"UPL","Q1","05-Sep-2017","         16.75","         16.00","         16.50","         16.00","         16.50","         16.50","         16.07","        105","                1687.50","          2","        105","        100.00"
"UPL","EQ","06-Sep-2017","        819.95","        811.15","        827.70","        811.15","        823.95","        823.95","        822.64","     580081","           477200030.25","      33035","     247322","         42.64"
"UPL","Q1","06-Sep-2017","         16.50","         15.75","         15.75","         15.75","         15.75","         15.75","         15.75","         15","                 236.25","          1","         15","        100.00"
"UPL","EQ","07-Sep-2017","        823.95","        828.00","        828.85","        821.00","        823.85","        824.35","        824.79","     531540","           438410256.50","      28513","     330383","         62.16"
"UPL","EQ","08-Sep-2017","        824.35","        825.05","        832.40","        811.00","        813.00","        813.95","        819.98","    1141701","           936176245.80","      47351","     694579","         60.84"
"UPL","Q1","08-Sep-2017","         15.75","         16.75","         17.30","         16.75","         17.30","         17.30","         17.29","        243","                4200.60","          3","        237","         97.53"
"UPL","EQ","11-Sep-2017","        813.95","        819.85","        824.00","        809.80","        810.50","        811.90","        816.73","     836222","           682970666.45","      23798","     501589","         59.98"
"UPL","Q1","11-Sep-2017","         17.30","         16.05","         17.95","         16.05","         17.00","         17.00","         17.92","      25858","              463285.40","          7","      25810","         99.81"
"UPL","EQ","12-Sep-2017","        811.90","        817.70","        821.20","        813.00","        814.40","        814.40","        816.17","     953116","           777909177.20","      23285","     680175","         71.36"
"UPL","EQ","13-Sep-2017","        814.40","        820.70","        827.45","        808.10","        810.50","        811.45","        821.11","     920480","           755814010.25","      39144","     534968","         58.12"
"UPL","Q1","13-Sep-2017","         17.00","         17.10","         17.15","         17.00","         17.00","         17.00","         17.12","      13499","              231072.95","          4","      13499","        100.00"
"UPL","Q2","13-Sep-2017","         14.85","         15.75","         15.75","         15.75","         15.75","         15.75","         15.75","        147","                2315.25","          1","        147","        100.00"
"UPL","EQ","14-Sep-2017","        811.45","        812.00","        823.90","        811.60","        820.00","        820.95","        819.24","     841527","           689416108.65","      23174","     518288","         61.59"
"UPL","Q1","14-Sep-2017","         17.00","         17.00","         17.00","         17.00","         17.00","         17.00","         17.00","        600","               10200.00","          2","        600","        100.00"
"UPL","EQ","15-Sep-2017","        820.95","        819.00","        833.00","        817.00","        828.00","        827.70","        826.92","    1855722","          1534525552.20","      45746","    1122047","         60.46"
"UPL","Q1","15-Sep-2017","         17.00","         16.55","         17.00","         16.55","         17.00","         17.00","         16.98","       1119","               18996.00","          4","       1119","        100.00"
"UPL","EQ","18-Sep-2017","        827.70","        834.90","        843.90","        830.20","        834.55","        834.20","        837.76","     844888","           707817387.75","      30707","     287837","         34.07"
"UPL","Q1","18-Sep-2017","         17.00","         17.00","         18.40","         17.00","         17.50","         17.50","         17.56","       5040","               88494.25","         18","       5020","         99.60"
"UPL","Q2","18-Sep-2017","         15.75","         17.00","         17.05","         17.00","         17.05","         17.05","         17.02","     277219","             4718875.00","         31","     154179","         55.62"
"UPL","EQ","19-Sep-2017","        834.20","        839.00","        842.10","        831.20","        835.25","        835.70","        837.46","     494308","           413962226.60","      29658","     205681","         41.61"
"UPL","Q1","19-Sep-2017","         17.50","         15.75","         18.70","         15.75","         18.70","         18.70","         17.54","        292","                5122.90","          4","        217","         74.32"
"UPL","EQ","20-Sep-2017","        835.70","        839.70","        842.95","        826.30","        829.40","        830.25","        835.22","     919443","           767940722.90","      38239","     430097","         46.78"
"UPL","Q1","20-Sep-2017","         18.70","         17.30","         17.35","         17.30","         17.30","         17.30","         17.30","       1433","               24795.90","          3","       1433","        100.00"
"UPL","EQ","21-Sep-2017","        830.25","        830.00","        833.95","        812.75","        820.00","        819.60","        821.35","     559033","           459160684.15","      35148","     270363","         48.36"
"UPL","Q2","21-Sep-2017","         17.05","         17.30","         17.30","         17.30","         17.30","         17.30","         17.30","     113040","             1955592.00","         24","     113040","        100.00"
"UPL","EQ","22-Sep-2017","        819.60","        816.50","        818.25","        803.00","        806.00","        806.75","        807.43","     931865","           752420233.65","      57869","     517467","         55.53"
"UPL","EQ","25-Sep-2017","        806.75","        809.65","        809.65","        773.00","        784.00","        784.30","        786.34","    1463397","          1150729625.85","      55115","     912058","         62.32"
"UPL","Q1","25-Sep-2017","         17.30","         18.95","         18.95","         17.00","         17.00","         17.00","         18.46","        400","                7385.00","          2","        400","        100.00"
"UPL","Q2","25-Sep-2017","         17.30","         17.00","         17.00","         17.00","         17.00","         17.00","         17.00","        100","                1700.00","          1","        100","        100.00"
"UPL","EQ","26-Sep-2017","        784.30","        782.85","        783.65","        763.70","        778.50","        778.70","        773.02","    1728051","          1335809754.95","      45135","    1099961","         63.65"
"UPL","Q1","26-Sep-2017","         17.00","         16.05","         18.70","         16.05","         18.50","         18.50","         17.33","        508","                8803.40","          5","        508","        100.00"
"UPL","EQ","27-Sep-2017","        778.70","        785.90","        792.90","        765.40","        765.90","        770.00","        778.13","    1436439","          1117738295.10","      29765","     862466","         60.04"
"UPL","EQ","28-Sep-2017","        770.00","        771.70","        777.70","        755.00","        762.15","        766.20","        767.62","    7136093","          5477811366.85","      71778","    5469356","         76.64"
"UPL","Q1","28-Sep-2017","         18.50","         18.40","         18.40","         18.40","         18.40","         18.40","         18.40","        150","                2760.00","          3","        150","        100.00"
"UPL","EQ","29-Sep-2017","        766.20","        768.00","        789.20","        768.00","        778.10","        778.50","        780.35","    1960985","          1530256809.60","      62846","    1049363","         53.51"
"UPL","Q1","29-Sep-2017","         18.40","         17.00","         17.00","         16.60","         16.60","         16.60","         16.89","        740","               12500.00","          5","        740","        100.00"
"UPL","EQ","03-Oct-2017","        778.50","        787.95","        798.50","        769.50","        794.10","        796.00","        786.13","    1493573","          1174143558.60","      32236","     943803","         63.19"
"UPL","Q1","03-Oct-2017","         16.60","         16.60","         16.60","         16.60","         16.60","         16.60","         16.60","         20","                 332.00","          1","         20","        100.00"
"UPL","EQ","04-Oct-2017","        796.00","        797.50","        803.80","        785.20","        790.50","        788.15","        794.36","     808639","           642353054.40","      25287","     315251","         38.99"
"UPL","Q1","04-Oct-2017","         16.60","         16.40","         16.40","         16.40","         16.40","         16.40","         16.40","         36","                 590.40","          1","         36","        100.00"
"UPL","EQ","05-Oct-2017","        788.15","        791.00","        793.75","        781.00","        784.25","        784.70","        787.50","     996774","           784963741.00","      30691","     683172","         68.54"
"UPL","EQ","06-Oct-2017","        784.70","        786.90","        797.00","        778.55","        793.00","        793.40","        787.65","    1304505","          1027487992.00","      29396","     833531","         63.90"
"UPL","Q1","06-Oct-2017","         16.40","         16.30","         16.30","         16.30","         16.30","         16.30","         16.30","        371","                6047.30","          1","        371","        100.00"
"UPL","EQ","09-Oct-2017","        793.40","        796.90","        802.70","        790.30","        792.75","        792.85","        795.15","     759701","           604072507.55","      19779","     415673","         54.72"
"UPL","EQ","10-Oct-2017","        792.85","        792.85","        824.00","        792.85","        823.70","        819.60","        808.08","    2664726","          2153309984.00","      40489","    1513078","         56.78"
"UPL","EQ","11-Oct-2017","        819.60","        827.00","        832.00","        800.80","        812.00","        813.20","        818.79","    1556350","          1274326405.65","      47052","     652827","         41.95"
"UPL","EQ","12-Oct-2017","        813.20","        812.00","        817.50","        805.05","        809.50","        809.25","        809.43","     624617","           505584792.60","      12171","     298332","         47.76"
"UPL","EQ","13-Oct-2017","        809.25","        811.90","        816.65","        800.30","        801.50","        802.40","        804.04","     816201","           656258642.30","      15237","     505199","         61.90"
"UPL","EQ","16-Oct-2017","        802.40","        805.00","        816.65","        803.20","        814.90","        812.35","        810.37","    1025481","           831018838.55","      34225","     598677","         58.38"
"UPL","Q1","16-Oct-2017","         16.30","         16.30","         16.50","         16.30","         16.50","         16.50","         16.41","        200","                3282.00","          4","        110","         55.00"
"UPL","EQ","17-Oct-2017","        812.35","        812.80","        812.80","        801.00","        806.00","        805.90","        805.73","     649945","           523681458.05","      30949","     320039","         49.24"
"UPL","Q1","17-Oct-2017","         16.50","         15.10","         16.20","         15.10","         16.20","         16.20","         15.56","       1035","               16107.00","          3","       1035","        100.00"
"UPL","EQ","18-Oct-2017","        805.90","        810.70","        810.70","        786.85","        791.50","        789.35","        799.09","    1338926","          1069927088.20","      36415","     857251","         64.03"
"UPL","Q1","18-Oct-2017","         16.20","         16.00","         16.00","         16.00","         16.00","         16.00","         16.00","         45","                 720.00","          1","         45","        100.00"
"UPL","EQ","19-Oct-2017","        789.35","        791.50","        798.00","        785.10","        791.95","        793.70","        793.51","     270417","           214577392.40","       3759","     152328","         56.33"
"UPL","Q1","19-Oct-2017","         16.00","         16.20","         16.20","         16.00","         16.00","         16.00","         16.00","        105","                1680.20","          2","        105","        100.00"
"UPL","EQ","23-Oct-2017","        793.70","        791.95","        800.45","        769.40","        780.90","        778.35","        781.54","    1741250","          1360850884.70","      45877","    1027473","         59.01"
"UPL","EQ","24-Oct-2017","        778.35","        783.00","        802.35","        778.05","        796.85","        799.15","        792.31","    1159011","           918294361.80","      24936","     712594","         61.48"
"UPL","Q1","24-Oct-2017","         16.00","         16.00","         16.00","         16.00","         16.00","         16.00","         16.00","         10","                 160.00","          1","         10","        100.00"
"UPL","EQ","25-Oct-2017","        799.15","        802.00","        805.25","        790.50","        797.50","        798.65","        795.25","     966446","           768564255.90","       9950","     749170","         77.52"
"UPL","EQ","26-Oct-2017","        798.65","        805.00","        816.70","        796.25","        815.50","        813.00","        808.01","    2309531","          1866126161.70","      41055","    1596191","         69.11"
"UPL","Q1","26-Oct-2017","         16.00","         15.90","         17.60","         15.70","         17.60","         17.60","         15.94","       1158","               18462.60","         11","        657","         56.74"
"UPL","EQ","27-Oct-2017","        813.00","        819.00","        834.65","        815.60","        831.00","        831.30","        826.18","    1843388","          1522967118.80","      29785","    1102562","         59.81"
