"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","EQ","01-Dec-2017","        694.15","        694.90","        697.90","        677.00","        680.95","        680.90","        685.78","    3941877","          2703249988.60","      45451","    1037766","         26.33"
"TATASTEEL","EQ","04-Dec-2017","        680.90","        685.10","        692.90","        680.50","        690.20","        687.80","        687.61","    2322372","          1596888130.70","      38345","     696307","         29.98"
"TATASTEEL","EQ","05-Dec-2017","        687.80","        685.00","        685.55","        671.00","        675.50","        675.70","        676.12","    3329151","          2250899697.10","      50318","    1358874","         40.82"
"TATASTEEL","EQ","06-Dec-2017","        675.70","        667.00","        671.45","        660.70","        668.25","        667.60","        664.46","    4266074","          2834632398.65","     101761","    1896153","         44.45"
"TATASTEEL","EQ","07-Dec-2017","        667.60","        670.00","        690.00","        670.00","        687.50","        688.00","        682.49","    4021709","          2744761870.40","      87103","    1317208","         32.75"
"TATASTEEL","EQ","08-Dec-2017","        688.00","        689.10","        713.85","        685.15","        694.05","        697.80","        702.08","    7508259","          5271417575.95","     103511","    1830056","         24.37"
"TATASTEEL","EQ","11-Dec-2017","        697.80","        698.75","        706.55","        694.65","        700.00","        699.55","        700.54","    2207461","          1546410413.15","      38791","     431299","         19.54"
"TATASTEEL","EQ","12-Dec-2017","        699.55","        698.80","        708.10","        686.10","        689.00","        689.85","        698.93","    3980084","          2781785624.05","      69650","    1232349","         30.96"
"TATASTEEL","EQ","13-Dec-2017","        689.85","        691.90","        693.15","        675.85","        683.00","        680.85","        685.22","    3661881","          2509203352.80","      68034","     984560","         26.89"
"TATASTEEL","EQ","14-Dec-2017","        680.85","        685.00","        688.75","        671.10","        687.00","        685.75","        680.54","    3143882","          2139525833.40","      52584","    1249330","         39.74"
"TATASTEEL","EQ","15-Dec-2017","        685.75","        696.00","        700.85","        691.05","        696.15","        694.70","        695.34","    3158329","          2196128073.25","      93014","    1306072","         41.35"
"TATASTEEL","EQ","18-Dec-2017","        694.70","        689.10","        714.80","        674.00","        706.00","        704.70","        703.73","    5093828","          3584694116.95","      91728","    1630125","         32.00"
"TATASTEEL","EQ","19-Dec-2017","        704.70","        709.00","        712.00","        705.20","        709.55","        710.20","        708.73","    2035138","          1442368711.70","      41632","     553957","         27.22"
"TATASTEEL","EQ","20-Dec-2017","        710.20","        716.90","        716.90","        691.95","        702.20","        702.80","        702.25","    7388281","          5188450111.10","     127546","    2252732","         30.49"
"TATASTEEL","EQ","21-Dec-2017","        702.80","        702.80","        717.25","        701.00","        712.00","        714.60","        711.39","    4801665","          3415862967.75","      77795","    1792606","         37.33"
"TATASTEEL","EQ","22-Dec-2017","        714.60","        716.80","        716.80","        707.10","        710.00","        711.20","        711.34","    3322839","          2363680347.80","      86074","    1152220","         34.68"
"TATASTEEL","EQ","26-Dec-2017","        711.20","        714.00","        725.00","        712.00","        720.45","        721.65","        719.97","    6011430","          4328079012.65","      88988","    2850687","         47.42"
"TATASTEEL","EQ","27-Dec-2017","        721.65","        721.75","        729.60","        717.90","        722.00","        723.45","        725.23","    3611513","          2619193266.65","      46899","    1158993","         32.09"
"TATASTEEL","EQ","28-Dec-2017","        723.45","        725.05","        739.50","        724.60","        734.60","        736.25","        734.80","   11572648","          8503540788.40","      88754","    6710182","         57.98"
"TATASTEEL","EQ","29-Dec-2017","        736.25","        738.00","        744.85","        730.00","        731.00","        732.40","        736.92","    2816505","          2075537758.35","      46963","     703649","         24.98"
"TATASTEEL","EQ","01-Jan-2018","        732.40","        732.50","        735.40","        719.50","        721.80","        722.20","        726.76","    1833942","          1332827277.05","      28039","     628997","         34.30"
"TATASTEEL","EQ","02-Jan-2018","        722.20","        724.00","        731.25","        715.25","        730.45","        729.30","        724.61","    2467294","          1787822857.30","      39772","     574294","         23.28"
"TATASTEEL","EQ","03-Jan-2018","        729.30","        732.00","        737.50","        731.25","        734.55","        734.95","        734.62","    2634779","          1935566674.30","      51896","    1074977","         40.80"
"TATASTEEL","EQ","04-Jan-2018","        734.95","        736.50","        763.45","        732.00","        763.45","        760.25","        751.92","    8082986","          6077721303.80","      94258","    2617440","         32.38"
"TATASTEEL","EQ","05-Jan-2018","        760.25","        764.00","        776.90","        762.50","        770.40","        770.70","        771.00","    7136203","          5502015156.40","     117831","    2982677","         41.80"
"TATASTEEL","EQ","08-Jan-2018","        770.70","        777.75","        777.85","        765.00","        768.25","        768.75","        770.22","    2584335","          1990503902.15","      43791","     597314","         23.11"
"TATASTEEL","EQ","09-Jan-2018","        768.75","        770.00","        780.85","        767.00","        770.65","        772.30","        774.28","    3197787","          2475979435.75","      51850","     965965","         30.21"
